"","SRR1617300","SRR1617301","SRR1617299","SRR1617302","SRR1617303","SRR1617304","SRR1617305","SRR1617306","SRR1617307","SRR1617308","SRR1617309","SRR1617310","SRR1617311","SRR1617312","SRR1617313","SRR1617315","SRR1617314","SRR1617316","SRR1617318","SRR1617317","SRR1617319","SRR1617320","SRR1617321","SRR1617322","SRR1617323","SRR1617324","SRR1617325","SRR1617327","SRR1617326","SRR1617328","SRR1617329","SRR1617331","SRR1617330","SRR1617332","SRR1617333","SRR1617334","SRR1617335","SRR1617336","SRR1617337","SRR1617338","SRR1617339","SRR1617340","SRR1617341","SRR1617342","SRR1617343","SRR1617345","SRR1617346","SRR1617344","SRR1617348","SRR1617347","SRR1617349","SRR1617350","SRR1617351","SRR1617352","SRR1617353","SRR1617354","SRR1617355","SRR1617356","SRR1617357","SRR1617358"
"322226",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,1,0,0,0,12,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"511732",0,0,3,0,5,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,2,2,0,0,2,19,0,1,0,0,0,0,1,2,0,0,1,0,0,0
"3412843",0,0,1,0,0,0,0,2,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,2,1,0,19,1,0,2,2,13,0,1,4,22,0,1,0,0,12,0,3,6,0,0,10,1,0,0
"610418",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262768",0,0,14,0,7,1,0,3,0,10,0,0,1,0,4,1,0,0,0,0,3,5,10,0,1,0,1,5,2,0,3,23,0,3,14,7,170,17,0,1,79,158,0,1,46,48,2,9,0,3,38,0,10,46,0,0,128,24,0,0
"810700",0,0,1,0,0,0,0,2,3,11,0,0,3,0,4,0,0,0,0,0,1,5,6,0,4,0,4,13,0,0,6,17,0,15,3,4,33,3,0,3,2,11,0,3,4,664,5,1,2,1,49,0,5,9,0,0,10,16,4,0
"3329856",0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
"242184",0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,80,0,0,0,126,19,0,0,50,0,0,1,0,1,0,0,5,1,0,0,34,2,0,0
"738343",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,13,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
"576693",0,0,4,0,6,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,18,0,0,1,0,6,0,0,2,9,1,0,0,17,29,0,0,0,0,1,0,9,2,0,0,6,0,0,0
"247905",0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2867955",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250348",0,0,32,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,42,0,0,0,135,42,0,0,82,0,0,2,0,2,1,0,2,0,0,0,24,2,0,0
"4364838",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,7,0,0,1,8,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0
"4344100",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,5,1,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"660424",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,10,12,0,0,6,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0
"4453470",0,0,4,0,1,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,1,4,15,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,9,0,3,4,51,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"35330",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"580362",0,0,0,5,0,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0,0,18,2,2,6,0,4,0,9,2,7,0,0,25,0,0,1,0,0,0,0,2,0,0,0,982,9,0,2,0,9,0,0,0,0,1,1,2,0,0
"18546",0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,15,0,0,1,22,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,1,6,0,4,0,5,0,175,1,0,0,0,15,1,0,0,0,0,0,2,0,2
