"","SRR1617300","SRR1617301","SRR1617299","SRR1617302","SRR1617303","SRR1617304","SRR1617305","SRR1617306","SRR1617307","SRR1617308","SRR1617309","SRR1617310","SRR1617311","SRR1617312","SRR1617313","SRR1617315","SRR1617314","SRR1617316","SRR1617318","SRR1617317","SRR1617319","SRR1617320","SRR1617321","SRR1617322","SRR1617323","SRR1617324","SRR1617325","SRR1617327","SRR1617326","SRR1617328","SRR1617329","SRR1617331","SRR1617330","SRR1617332","SRR1617333","SRR1617334","SRR1617335","SRR1617336","SRR1617337","SRR1617338","SRR1617339","SRR1617340","SRR1617341","SRR1617342","SRR1617343","SRR1617345","SRR1617346","SRR1617344","SRR1617348","SRR1617347","SRR1617349","SRR1617350","SRR1617351","SRR1617352","SRR1617353","SRR1617354","SRR1617355","SRR1617356","SRR1617357","SRR1617358"
"278684",1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,2,0,0,3,0,0,0,1,1,0,0,0,1,0,2,0,1,1
"526020",2,1,0,0,14,1,2,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,4,5,0,0,7,3,0,0,0,0,0,3,2,2,0,0,1,0,2,7,4,3
"820945",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"538947",1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,5,7,6,1,0,8,1,0,0,0,0,0,11,2,2,0,0,0,0,2,6,3,6
"1106830",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
"831193",1,0,4,0,0,0,0,6,0,0,0,0,0,0,30,0,2,0,0,0,1,3,4,1,0,0,0,0,1,0,0,87,0,16,50,25,7,0,0,0,12,113,0,15,5,8,0,1,0,0,0,0,52,67,0,1,5,0,0,0
"818777",3,1,3,0,1,1,0,4,0,2,0,0,0,0,1,1,0,0,0,1,3,0,1,0,0,0,0,0,0,5,0,5,0,1,7,2,3,1,0,2,10,2,0,0,2,11,0,0,0,0,0,0,4,8,0,2,2,0,0,1
"826624",1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,10,0,3,0,0,3,2,0,0,0,0,0,2,1,2,0,0,2,0,1,4,8,1
"383971",1,0,0,3,0,0,2,0,0,0,4,3,0,31,0,1,0,7,3,0,0,18,0,3,0,0,0,0,1,9,0,1,0,0,8,9,3,10,13,15,1,1,12,9,2,4,0,0,2,17,5,4,0,0,9,2,5,13,21,21
"432904",1,1,0,5,2,0,4,2,2,1,0,0,0,15,4,0,0,0,3,1,1,0,3,11,0,2,0,0,0,0,0,6,0,0,18,17,5,26,21,26,8,7,35,21,7,6,0,1,0,29,14,15,5,2,20,0,10,38,24,21
