"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"563668",699,1,23,56,0,17,702,393,2,31,365,7,41,936,392,264,370,15,419,1009,1966,705
"574742",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4479317",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"567960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"75821",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"533703",5,15,6,7,303,2,6,5,4,1,0,13,0,0,0,3,0,11,0,0,1,0
"4424807",2,1,1,0,0,1,1,3,1,1,7,1,2,4,6,2,2,13,0,0,0,0
"4369287",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"151623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"253529",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,1,0,0
"4463295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"349747",422,217,0,455,202,2747,337,407,87,66,100,234,2122,19,146,1053,3326,271,281,0,0,0
"520369",4,3,7,5,0,11,10,2,4,3,11,5,23,14,11,13,21,11,3,0,0,0
"514272",7,1,5,0,0,1,1,8,0,14,9,8,3,13,36,7,9,9,14,0,0,0
"568536",26,96,18,20,9,7,61,54,26,32,76,44,1,0,9,4,27,20,7,0,0,0
"4324315",3,0,0,2,0,0,0,0,1,0,3,0,2,0,0,0,1,0,3,0,0,0
"588929",0,1,0,0,4,0,0,0,1,2,0,4,0,1,0,0,0,4,4,0,0,0
"367542",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"553063",4,0,0,0,0,0,7,6,0,1,0,0,0,24,21,28,64,0,1,1,0,0
"1114352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2
"237444",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4390330",0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"171559",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"196604",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"302880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1131964",0,2,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0
"296166",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2079819",0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110988",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"298937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"590595",0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1111586",22,13,13,11,8,13,4,18,15,38,12,33,12,19,26,21,33,45,24,63672,48663,26786
"358343",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"353862",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139808",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4463604",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1136403",0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
"105538",0,0,1,4,0,2,0,0,3,0,0,3,3,7,5,7,10,2,0,0,0,0
"3041208",0,0,0,1,0,0,0,0,27,0,0,0,3,0,0,0,0,0,3,0,0,0
"572889",1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"655725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"296420",5,0,2,3,1,0,1,3,1,1,3,1,3,3,3,3,5,1,5,1,0,0
"2398623",172,15,4,2,0,6,115,104,4,159,22,8,7,2,74,7,16,27,0,1,0,0
"4299907",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"528005",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"176518",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
