"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"829851",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1115099",0,2,1,0,2,0,0,2,0,7,0,1,0,0,1,0,0,5,0,0,0,0
"136532",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"690938",0,0,0,0,1,0,0,0,4,1,2,2,0,0,0,0,0,1,0,0,0,0
"500211",0,0,0,0,0,0,0,3,0,0,0,0,2,1,4,3,2,0,2,0,0,0
"4468697",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"818484",1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,3,0,1,0,0,0,0
"555240",0,0,1,0,0,0,0,0,1,0,153,0,0,0,0,0,0,1,32,0,0,0
"4408378",0,0,0,0,0,3,0,0,0,2,7,2,0,0,0,0,0,0,0,0,0,0
"838721",0,8,5,0,2,12,0,1,2,11,1,13,0,3,0,3,1,28,1,0,0,0
"687686",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1059509",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"186836",1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"4321230",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4314565",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"1093466",22,4,26,9,0,4,16,13,22,6,18,7,56,12,13,18,29,1,123,0,0,0
"326693",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"348328",0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0
