Name,TaxLevel,Metabolism
Hirschia,Genus,AerobicResp
Holdemania,Genus,Ferm
Homo lactic,Genus,Ferm
Hydrogenobacter,Genus,H2_Oxidizer
Hydrogenophaga,Genus,H2_Oxidizer
Hydrogenophilus,Genus,H2_Oxidizer
Hymenobacter,Genus,AerobicResp
Hyperthermus,Genus,Ferm
Hyphomonas,Genus,AerobicResp
Iamia,Genus,AerobicResp
Idiomarina,Genus,AerobicResp
Intrasporangium,Genus,AerobicResp
Isosphaera,Genus,AerobicResp
Janibacter,Genus,AerobicResp
Janthinobacterium,Genus,AerobicResp
Jettenia,Genus,ANAMOX
Jiangella,Genus,AerobicResp
Kibdelosporangium,Genus,AerobicResp
Kineococcus,Genus,AerobicResp
Kineosphaera,Genus,AerobicResp
Kineosporia,Genus,AerobicResp
Kingella,Genus,AerobicResp
Klebsiella,Genus,AerobicResp
Knoellia,Genus,AerobicResp
Kocuria,Genus,AerobicResp
Kordia,Genus,AerobicResp
Kribbella,Genus,AerobicResp
Kribbia,Genus,AerobicResp
Krokinobacter,Genus,AerobicResp
Kuenenia,Genus,ANAMOX
Kutzneria,Genus,AerobicResp
Kytococcus,Genus,AerobicResp
Laceyella,Genus,AerobicResp
Lachnobacterium,Genus,Ferm
Lachnospira,Genus,Ferm
Lacinutrix,Genus,AerobicResp
Lampropedia,Genus,AerobicResp
Lapillicoccus,Genus,AerobicResp
Larkinella,Genus,AerobicResp
Lautropia,Genus,AerobicResp
Leadbetterella,Genus,AerobicResp
Leeuwenhoekiella,Genus,AerobicResp
Legionella,Genus,AerobicResp
Leifsonia,Genus,AerobicResp
Leminorella,Genus,Ferm
Lentisphaera,Genus,AerobicResp
Lentzea,Genus,AerobicResp
Leptonema,Genus,AerobicResp
Leptospira,Genus,AerobicResp
Leptospirillum,Genus,Fe_oxidizer
Leuconostoc,Genus,Ferm
Leucothrix,Genus,AerobicResp
Lewinella,Genus,AerobicResp
Lishizhenia,Genus,AerobicResp
Listeria,Genus,AerobicResp
Lonepinella,Genus,AerobicResp
Longispora,Genus,AerobicResp
Luteimonas,Genus,AerobicResp
Luteococcus,Genus,Ferm
Lutibacter,Genus,AerobicResp
Lysobacter,Genus,AerobicResp
Macrococcus,Genus,AerobicResp
Magnetospirillum,Genus,AerobicResp
Mangroviflexus,Genus,Ferm
Mannheimia,Genus,Ferm
Maribacter,Genus,AerobicResp
Marinibacillus,Genus,AerobicResp
Mariniflexile,Genus,Ferm
Marinilabilia,Genus,AerobicResp
Marinilactibacillus,Genus,AerobicResp
Marinobacter,Genus,AerobicResp
Marinobacterium,Genus,AerobicResp
Marinococcus,Genus,AerobicResp
Marinomonas,Genus,AerobicResp
Massilia,Genus,AerobicResp
Mechercharimyces,Genus,AerobicResp
Megasphaera,Genus,Ferm
Meiothermus,Genus,AerobicResp
Melissococcus,Genus,Ferm
Mesonia,Genus,AerobicResp
Mesoplasma,Genus,Ferm
Mesorhizobium,Genus,AerobicResp
Methanobacteriaceae,Genus,H2_Methanogen
Methanobacteriales,Genus,H2_Methanogen
Methanobacterium,Genus,H2_Methanogen
Methanobrevibacter,Genus,H2_Methanogen
Methanocalculus,Genus,H2_Methanogen
Methanocaldococcaceae,Family,H2_Methanogen
Methanocaldococcus,Genus,H2_Methanogen
Methanocaldococcus,Genus,H2_Methanogen
Methanocella,Genus,H2_Methanogen
Methanocellaceae,Genus,H2_Methanogen
Methanococcoides,Genus,CH3_Methanogen
Methanococcus,Genus,H2_Methanogen
Methanocorpusculum,Genus,H2_Methanogen
Methanoculleus,Genus,H2_Methanogen
Methanofollis,Genus,H2_Methanogen
Methanogenium,Genus,H2_Methanogen
Methanohalobium,Genus,CH3_Methanogen
Methanohalophilus,Genus,CH3_Methanogen
Methanolacinia,Genus,H2_Methanogen
